,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-22,,MIN,W,110,103,42,95,0.442,5,30,0.167,21,25,0.84,15,46,22,7,8,7,22,,35,85,0.412,13,41,0.317,20,27,0.741,12,47,17,4,1,16,22
2,2,2024-10-25,,PHO,W,123,116,40,75,0.533,14,27,0.519,29,39,0.744,6,37,33,10,5,13,18,,42,82,0.512,17,37,0.459,15,17,0.882,5,34,35,8,4,17,26
3,3,2024-10-26,,SAC,W,131,127,48,92,0.522,14,34,0.412,21,24,0.875,13,45,32,8,3,19,19,,45,88,0.511,15,44,0.341,22,25,0.88,5,32,32,12,5,14,19
4,4,2024-10-28,@,PHO,L,105,109,39,94,0.415,14,32,0.438,13,18,0.722,11,46,25,5,6,12,19,,40,87,0.46,11,36,0.306,18,20,0.9,9,46,21,7,11,11,22
5,5,2024-10-30,@,CLE,L,110,134,38,77,0.494,6,28,0.214,28,33,0.848,5,37,21,6,0,21,7,,56,97,0.577,17,41,0.415,5,8,0.625,6,36,37,14,2,12,26
6,6,2024-11-01,@,TOR,W,131,125,42,88,0.477,11,32,0.344,36,41,0.878,9,43,29,6,5,10,17,,52,107,0.486,10,35,0.286,11,13,0.846,15,44,35,4,6,11,29
7,7,2024-11-04,@,DET,L,103,115,37,85,0.435,9,25,0.36,20,27,0.741,7,37,28,8,1,13,16,,45,96,0.469,8,34,0.235,17,22,0.773,17,55,22,6,5,12,25
8,8,2024-11-06,@,MEM,L,114,131,41,93,0.441,15,48,0.313,17,21,0.81,9,37,23,10,1,11,18,,48,93,0.516,17,34,0.5,18,23,0.783,12,50,28,5,6,18,17
9,9,2024-11-08,,PHI,W,116,106,44,85,0.518,16,35,0.457,12,14,0.857,5,45,28,1,13,13,17,,39,96,0.406,13,39,0.333,15,23,0.652,13,44,28,6,4,8,14
10,10,2024-11-10,,TOR,W,123,103,44,86,0.512,12,37,0.324,23,28,0.821,10,33,30,9,4,5,15,,37,82,0.451,10,29,0.345,19,22,0.864,12,40,26,2,2,18,23
11,11,2024-11-13,,MEM,W,128,123,43,85,0.506,20,41,0.488,22,32,0.688,7,42,31,7,5,18,22,,42,89,0.472,12,33,0.364,27,33,0.818,12,41,28,11,6,14,25
12,12,2024-11-15,@,SAS,W,120,115,44,88,0.5,14,31,0.452,18,23,0.783,10,41,27,10,3,12,11,,43,88,0.489,17,45,0.378,12,16,0.75,11,40,32,6,5,13,19
13,13,2024-11-16,@,NOP,W,104,99,39,89,0.438,12,40,0.3,14,18,0.778,17,43,24,10,3,11,14,,35,83,0.422,11,29,0.379,18,23,0.783,18,50,24,7,4,17,19
14,14,2024-11-19,,UTA,W,124,118,42,76,0.553,14,31,0.452,26,36,0.722,6,34,30,9,5,14,16,,45,90,0.5,12,36,0.333,16,19,0.842,11,42,28,9,0,16,24
15,15,2024-11-21,,ORL,L,118,119,44,87,0.506,13,31,0.419,17,26,0.654,9,36,21,4,6,10,15,,43,91,0.473,15,40,0.375,18,21,0.857,15,48,31,8,5,17,25
16,16,2024-11-23,,DEN,L,102,127,39,88,0.443,13,36,0.361,11,14,0.786,6,32,27,11,3,15,16,,50,82,0.61,16,32,0.5,11,19,0.579,8,48,37,7,2,18,18
17,17,2024-11-26,@,PHO,L,100,127,37,85,0.435,8,34,0.235,18,25,0.72,7,42,25,7,6,12,11,,51,99,0.515,17,42,0.405,8,10,0.8,8,46,31,9,3,9,18
18,18,2024-11-27,@,SAS,W,119,101,48,90,0.533,13,34,0.382,10,10,1,11,46,31,8,3,13,15,,36,85,0.424,14,40,0.35,15,16,0.938,11,38,26,7,4,15,13
19,19,2024-11-29,,OKC,L,93,101,33,73,0.452,11,38,0.289,16,21,0.762,8,47,25,4,6,17,18,,38,93,0.409,13,40,0.325,12,16,0.75,15,47,20,12,3,10,17
20,20,2024-12-01,@,UTA,W,105,104,39,88,0.443,7,33,0.212,20,25,0.8,10,42,23,7,4,5,18,,40,79,0.506,14,40,0.35,10,16,0.625,8,44,27,4,4,15,19
21,21,2024-12-02,@,MIN,L,80,109,32,79,0.405,6,31,0.194,10,14,0.714,9,39,19,8,2,21,16,,41,81,0.506,15,35,0.429,12,15,0.8,7,43,31,11,2,15,17
22,22,2024-12-04,@,MIA,L,93,134,37,88,0.42,5,22,0.227,14,19,0.737,12,36,29,9,4,13,8,,52,90,0.578,24,47,0.511,6,9,0.667,13,52,42,11,5,16,16
23,23,2024-12-06,@,ATL,L,132,134,51,99,0.515,16,35,0.457,14,16,0.875,6,40,33,11,10,15,24,,50,100,0.5,17,40,0.425,17,22,0.773,11,48,40,10,5,17,24
24,24,2024-12-08,,POR,W,107,98,38,83,0.458,13,34,0.382,18,21,0.857,8,40,25,14,7,11,20,,35,84,0.417,9,36,0.25,19,21,0.905,12,49,17,4,3,18,19
